Model,Training Accuracy,Test Accuracy
Decision Tree,0.9999382763675643,0.8200765369105424
Random Forest,0.999933132731528,0.8836104024360135
AdaBoost,0.6369107321965898,0.6372109291416345
Gradient Boosting,0.8039503124758892,0.8030409019833759
